brand,name,slug,category,price,stock,image_url,source
"Hugo Boss","Hugo boss the scent le parfum",hugo-boss-hugo-boss-the-scent-le-parfum,decants,33250,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Hugo_boss_the_scent_le_parfum.png?v=1742871353",disfragancias
"Fragance World","Fragance World Chocola Addict By French Avenue",fragance-world-fragance-world-chocola-addict-by-french-avenue,decants,23750,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/FragranceWorldChocolaAddictByFrenchAvenue.png?v=1742870650",disfragancias
"Kayali Fragrances","Kayali Candy rock sugar",kayali-fragrances-kayali-candy-rock-sugar-50-ml,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/KayaliCandyrocksugar50ML.png?v=1742869917",disfragancias
"Sol de Janeiro","Sol de Janeiro Cheirosa 76 Bruma de cuerpo y pelo",sol-de-janeiro-sol-de-janeiro-cheirosa-76-bruma-de-cuerpo-y-pelo,,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/SoldeJaneiroCheirosa76.png?v=1742869289",disfragancias
"Fragance World","Fragance world Aether Extrait by French Avenue",fragance-world-fragance-world-aether-extrait-by-french-avenue,decants,25650,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/FragranceworldAetherExtraitbyFrenchAvenue.png?v=1742868709",disfragancias
"Azzaro","Azzaro the most wanted edt intense set de regalo",azzaro-azzaro-the-most-wanted-edt-intense-set-de-regalo,,532000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Azzaro_the_most_wanted_edt_intense_set_de_regalo.png?v=1742868418",disfragancias
"lattafa","Set Lattafa Yara + Lattafa Yara candy",lattafa-set-yara-yara-candy,,310000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/SetYara_Yaracandy_1c9c4300-6060-45cf-aa3b-00e10431d38d.png?v=1742868084",disfragancias
"Clive Christian","Clive Christian Crab Apple Blossom",clive-christian-clive-christian-crab-apple-blossom-50-ml,decants,180500,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Crab_Apple_Blossom_Clive_Christian.png?v=1742866876",disfragancias
"Byredo","Byredo rose of no mans land",byredo-byredo-rose-of-no-mans-land,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/Byredo_rose_of_no_mans_land.png?v=1742866380",disfragancias
"Byredo","Byredo Gypsy water",byredo-byredo-gypsy-water,decants,76000,0,"https://cdn.shopify.com/s/files/1/0847/7553/4899/files/GypsyWaterByredo.png?v=1742865970",disfragancias
